hidden_size,pooling,optimizer,epochs,final_train_loss,final_train_acc,final_val_loss,final_val_acc
64,max,SGD,5,0.6821799349784851,0.57,0.6868278169631958,0.55
64,max,SGD,50,0.6807446312904358,0.57875,0.6931884360313415,0.48
64,max,SGD,100,0.6624212884902954,0.66,0.6817255878448486,0.545
64,max,SGD,250,0.5935627508163452,0.8,0.6599229025840759,0.56
64,max,SGD,350,0.6499543118476868,0.69875,0.6865996265411377,0.56
64,max,RMSProp,5,0.21146633088588715,0.98625,0.56456552028656,0.69
64,max,RMSProp,50,0.01678117599338293,0.9975,0.6096274161338806,0.75
64,max,RMSProp,100,0.054933433830738065,0.99625,0.6236846905946731,0.7
64,max,RMSProp,250,0.05098642557859421,0.99625,0.6436092901229858,0.7
64,max,RMSProp,350,0.03583218403160572,0.9975,0.6760385406017303,0.705
64,max,Adam,5,0.4116538822650909,0.95,0.6552307486534119,0.585
64,max,Adam,50,0.14028737157583238,0.96875,0.7337823820114135,0.67
64,max,Adam,100,0.060766608268022534,0.99875,0.6892372608184815,0.69
64,max,Adam,250,0.08500848531723022,0.99625,0.7015635514259339,0.665
64,max,Adam,350,0.09522368758916855,0.995,0.6601309597492218,0.68
64,avg,SGD,5,0.692900972366333,0.525,0.6940795516967774,0.465
64,avg,SGD,50,0.6926093149185181,0.5175,0.6954359436035156,0.43
64,avg,SGD,100,0.6887817597389221,0.56375,0.6928352928161621,0.48
64,avg,SGD,250,0.6911103105545044,0.51125,0.6952286410331726,0.47
64,avg,SGD,350,0.6927202343940735,0.5075,0.6970865774154663,0.46
64,avg,RMSProp,5,0.2940157437324524,0.87375,0.6530667865276336,0.675
64,avg,RMSProp,50,0.3589478373527527,0.85,0.7694244027137757,0.63
64,avg,RMSProp,100,0.190282202064991,0.92875,0.7636429142951965,0.67
64,avg,RMSProp,250,0.18245353639125825,0.94125,0.7399864959716796,0.72
64,avg,RMSProp,350,0.24179040312767028,0.915,0.6646854066848755,0.66
64,avg,Adam,5,0.37503375053405763,0.84375,0.6461800098419189,0.64
64,avg,Adam,50,0.1823498499393463,0.935,0.6844199872016907,0.705
64,avg,Adam,100,0.14075785562396048,0.95625,0.6637695574760437,0.725
64,avg,Adam,250,0.327847934961319,0.87125,0.7607461977005004,0.625
64,avg,Adam,350,0.3354919356107712,0.86875,0.7286453032493592,0.66
128,max,SGD,5,0.7056906342506408,0.51125,0.7478148150444031,0.465
128,max,SGD,50,0.64846195936203,0.58625,0.6919011187553405,0.515
128,max,SGD,100,0.6420012617111206,0.73875,0.6807555651664734,0.54
128,max,SGD,250,0.6141615796089173,0.77625,0.6680366516113281,0.6
128,max,SGD,350,0.6407168436050416,0.68,0.6935909318923951,0.54
128,max,RMSProp,5,0.12093353003263474,0.99625,0.5913326454162597,0.72
128,max,RMSProp,50,0.024536050520837308,0.9975,0.6502438998222351,0.745
128,max,RMSProp,100,0.046685208976268766,0.9975,0.630564626455307,0.705
128,max,RMSProp,250,0.04728228494524956,0.9975,0.6580935549736023,0.685
128,max,RMSProp,350,0.03000473454594612,1.0,0.6841430187225341,0.67
128,max,Adam,5,0.2593277221918106,0.98375,0.5979501008987427,0.66
128,max,Adam,50,0.048557455763220785,1.0,0.673878755569458,0.715
128,max,Adam,100,0.05589268013834953,0.99625,0.739176127910614,0.7
128,max,Adam,250,0.02223575480282307,0.9975,0.6496177315711975,0.74
128,max,Adam,350,0.039353872910141946,0.9975,0.6096772980690003,0.72
128,avg,SGD,5,0.6916114401817322,0.535,0.6942735457420349,0.46
128,avg,SGD,50,0.6798788738250733,0.5975,0.6911558294296265,0.515
128,avg,SGD,100,0.6586763143539429,0.65125,0.6818305540084839,0.545
128,avg,SGD,250,0.6910479617118835,0.5175,0.6953904366493225,0.475
128,avg,SGD,350,0.6912263250350952,0.525,0.6958844804763794,0.47
128,avg,RMSProp,5,0.3024942266941071,0.9,0.6216568183898926,0.65
128,avg,RMSProp,50,0.16495355933904648,0.93625,0.5973828315734864,0.695
128,avg,RMSProp,100,0.1576194669306278,0.94125,0.6669169163703919,0.705
128,avg,RMSProp,250,0.2431166610121727,0.9075,0.7935245895385742,0.635
128,avg,RMSProp,350,0.24151437759399413,0.90875,0.7774626588821412,0.61
128,avg,Adam,5,0.3990249520540237,0.83625,0.6664173340797425,0.66
128,avg,Adam,50,0.29540665984153747,0.8975,0.7348053240776062,0.635
128,avg,Adam,100,0.42256152153015136,0.8025,0.6959587717056275,0.615
128,avg,Adam,250,0.17908579755574464,0.94,0.9399105548858643,0.685
128,avg,Adam,350,0.3860704404115677,0.805,0.770227563381195,0.615
